K,budget,Error,Equal opportunity difference,fc
1,1.0,0.16947175470754874,0.09958635276558964,0.0
1,0.1,0.1696383936010665,0.15219938006244776,0.0
1,0.01,0.20129978336943843,0.4421049357752141,0.0
2,1.0,0.17583333333333334,0.157608606139632,0.0
2,0.1,0.18183333333333335,0.14613433058911013,0.0
2,0.01,0.17666666666666667,0.1454753628587978,0.0
3,1.0,0.1605,0.1618593526436189,0.0
3,0.1,0.17316666666666666,0.16272876050230872,0.0
3,0.01,0.20816666666666667,0.23469684811449476,0.0
4,1.0,0.158,0.09131859133593895,0.0
4,0.1,0.17483333333333334,0.10728910731047459,0.0
4,0.01,0.18883333333333333,0.06715806717577877,0.0
5,1.0,0.1531921986997833,0.12286090392491977,0.0
5,0.1,0.16619436572762128,0.21832776022058453,0.0
5,0.01,0.21736956159359894,0.5156450954009122,0.0
1,1.0,0.169305115814031,0.010284162201177227,0.1
1,0.1,0.1746375604065989,0.11935641051476042,0.1
1,0.01,0.21179803366105648,0.35903337169396776,0.1
2,1.0,0.1795,0.0594306519098351,0.1
2,0.1,0.18133333333333335,0.07703332731519441,0.1
2,0.01,0.179,0.22938666579734857,0.1
3,1.0,0.1635,0.07234968294375921,0.1
3,0.1,0.17,0.151273033425464,0.1
3,0.01,0.20716666666666667,0.27573211223930844,0.1
4,1.0,0.1565,0.00450450448437989,0.1
4,0.1,0.17583333333333334,0.07289107291338581,0.1
4,0.01,0.18766666666666668,0.09131859133527498,0.1
5,1.0,0.15519253208868145,0.08262471443023456,0.1
5,0.1,0.1670278379729955,0.2039876836597791,0.1
5,0.01,0.21953658943157192,0.4361637741958677,0.1
1,1.0,0.16947175470754874,0.04116775000808548,0.2
1,0.1,0.1771371438093651,0.06455592533583798,0.2
1,0.01,0.2086318946842193,0.3526057703295667,0.2
2,1.0,0.17433333333333334,0.011161265849793489,0.2
2,0.1,0.17833333333333334,0.18049126045940722,0.2
2,0.01,0.18116666666666667,0.2539743991110699,0.2
3,1.0,0.16683333333333333,0.07234968294375921,0.2
3,0.1,0.16883333333333334,0.15827156998658054,0.2
3,0.01,0.2115,0.2988638688375557,0.2
4,1.0,0.15866666666666668,0.04791154788940766,0.2
4,0.1,0.176,0.06592956595176991,0.2
4,0.01,0.191,0.14209664211091771,0.2
5,1.0,0.15602600433405567,0.0798406742425033,0.2
5,0.1,0.1681946991165194,0.22549590716776874,0.2
5,0.01,0.2230371728621437,0.4364474739437376,0.2
1,1.0,0.17480419930011665,0.022776516427559623,0.3
1,0.1,0.1803032827862023,0.04887050458739817,0.3
1,0.01,0.2089651724712548,0.3338413211863852,0.3
2,1.0,0.17466666666666666,0.018665260895199265,0.3
2,0.1,0.1735,0.16955239618976425,0.3
2,0.01,0.17966666666666667,0.212830101655623,0.3
3,1.0,0.16666666666666666,0.009775920917007741,0.3
3,0.1,0.16966666666666666,0.17102550789168908,0.3
3,0.01,0.20733333333333334,0.2962005696503467,0.3
4,1.0,0.15866666666666668,0.007371007349697201,0.3
4,0.1,0.1755,0.05159705161953898,0.3
4,0.01,0.19283333333333333,0.13267813269265133,0.3
5,1.0,0.15619269878313052,0.10965184368915659,0.3
5,0.1,0.17002833805634274,0.2164856031926491,0.3
5,0.01,0.22337056176029338,0.3966841173621688,0.3
1,1.0,0.1753041159806699,0.006883753737648934,0.4
1,0.1,0.17547075487418765,0.08299899441023262,0.4
1,0.01,0.20146642226295616,0.33622575394968446,0.4
2,1.0,0.181,0.0103457933411919,0.4
2,0.1,0.1755,0.13132403092447498,0.4
2,0.01,0.17983333333333335,0.22838997710936976,0.4
3,1.0,0.17433333333333334,0.03951281690558872,0.4
3,0.1,0.171,0.1644006986890072,0.4
3,0.01,0.207,0.3186714189149203,0.4
4,1.0,0.16233333333333333,0.049959049937390976,0.4
4,0.1,0.171,0.08517608519630537,0.4
4,0.01,0.196,0.12285012286538616,0.4
5,1.0,0.15869311551925322,0.015300873013635474,0.4
5,0.1,0.16869478246374395,0.16611187606423888,0.4
5,0.01,0.22620436739456576,0.3897504955383243,0.4
1,1.0,0.1753041159806699,0.004623726161901653,0.5
1,0.1,0.17630394934177637,0.05760996902141524,0.5
1,0.01,0.21263122812864524,0.3039840761399417,0.5
2,1.0,0.1835,0.05119355532211689,0.5
2,0.1,0.17716666666666667,0.11393552002734864,0.5
2,0.01,0.18083333333333335,0.21270654520618942,0.5
3,1.0,0.1745,0.02025208891288366,0.5
3,0.1,0.1695,0.15213063936461207,0.5
3,0.01,0.21133333333333335,0.2995680498628272,0.5
4,1.0,0.16466666666666666,0.06592956590761012,0.5
4,0.1,0.169,0.08230958232966001,0.5
4,0.01,0.19466666666666665,0.12366912368371613,0.5
5,1.0,0.1633605600933489,0.07701124209667898,0.5
5,0.1,0.17002833805634274,0.20578066606318446,0.5
5,0.01,0.23320553425570928,0.3376291779646019,0.5
1,1.0,0.18196967172137976,0.27300718440553173,1.0
1,0.1,0.1866355607398767,0.058646678910123984,1.0
1,0.01,0.19830028328611898,0.32609709825278277,1.0
2,1.0,0.18516666666666667,0.02864862196000806,1.0
2,0.1,0.17566666666666667,0.17168580420017598,1.0
2,0.01,0.18883333333333333,0.14386912901616156,1.0
3,1.0,0.18,0.05732584302222443,1.0
3,0.1,0.17383333333333334,0.1896449983630687,1.0
3,0.01,0.2065,0.355536672499245,1.0
4,1.0,0.17,0.10319410316735977,1.0
4,0.1,0.17466666666666666,0.08681408683263347,1.0
4,0.01,0.2005,0.13308763310264649,1.0
5,1.0,0.1710285047507918,0.310643657997336,1.0
5,0.1,0.17152858809801633,0.17337458959404634,1.0
5,0.01,0.23520586764460744,0.3267804996279837,1.0
1,1.0,0.18096983836027328,0.32368156419542926,1.5
1,0.1,0.19296783869355108,0.11646398989567919,1.5
1,0.01,0.21063156140643227,0.332047813066791,1.5
2,1.0,0.18583333333333332,0.09724716234367914,1.5
2,0.1,0.21283333333333335,0.01063409172320362,1.5
2,0.01,0.20266666666666666,0.11400965388053454,1.5
3,1.0,0.1835,0.048092810243473005,1.5
3,0.1,0.172,0.1597782813398606,1.5
3,0.01,0.21616666666666667,0.334265684760198,1.5
4,1.0,0.17316666666666666,0.06879606881111067,1.5
4,0.1,0.17416666666666666,0.0757575757743868,1.5
4,0.01,0.198,0.15151515152851985,1.5
5,1.0,0.17386231038506417,0.40644338866540075,1.5
5,0.1,0.17552925487581264,0.1333729252227009,1.5
5,0.01,0.23970661776962826,0.3331013299979954,1.5
1,1.0,0.20046658890184968,0.3318923065738501,2.0
1,0.1,0.20429928345275788,0.07959858593536964,2.0
1,0.01,0.2111314780869855,0.32527809743378866,2.0
2,1.0,0.184,0.22983146901942791,2.0
2,0.1,0.22133333333333333,0.0348017331129693,2.0
2,0.01,0.1885,0.1587617996470857,2.0
3,1.0,0.204,0.026963445498761063,2.0
3,0.1,0.17583333333333334,0.15571842202165043,2.0
3,0.01,0.18166666666666667,0.21942123401651215,2.0
4,1.0,0.17333333333333334,0.18550368551395324,2.0
4,0.1,0.20833333333333334,0.0733005733047874,2.0
4,0.01,0.19983333333333334,0.144963144976899,2.0
5,1.0,0.18403067177862978,0.38521129957240696,2.0
5,0.1,0.18186364394065677,0.23152925512347372,2.0
5,0.01,0.24320720120020003,0.3431026917574411,2.0
1,1.0,0.23512747875354106,0.06949066442694764,3.0
1,0.1,0.20396600566572237,0.18437885527274717,3.0
1,0.01,0.21513081153141142,0.21990690345270625,3.0
2,1.0,0.19183333333333333,0.1800299830523071,3.0
2,0.1,0.19833333333333333,0.16130706248894278,3.0
2,0.01,0.19583333333333333,0.13172764864281702,3.0
3,1.0,0.2678333333333333,0.06695227301192463,3.0
3,0.1,0.196,0.1941139907983387,3.0
3,0.01,0.18033333333333335,0.19564037200413295,3.0
4,1.0,0.19183333333333333,0.019656019628632282,3.0
4,0.1,0.18033333333333335,0.0855855855986638,3.0
4,0.01,0.196,0.15110565111752866,3.0
5,1.0,0.22887147857976328,0.09703287890860439,3.0
