K,budget,Error,Equal opportunity difference,fc
5,1,0.243207201,0,4
5,0.1,0.29038173,0.074851341,4
5,0.01,0.33422237,0.278804981,4
1,1,0.242959507,0,5
1,0.1,0.242959507,0,5
1,0.01,0.242959507,0,5
2,1,0.234,0,5
2,0.1,0.214,0.126908947,5
2,0.01,0.306666667,0.042404573,5
3,1,0.239166667,0,5
3,0.1,0.2585,0.125568459,5
3,0.01,0.239166667,0,5
4,1,0.2405,0,5
4,0.1,0.216333333,0.131859132,5
4,0.01,0.2405,0,5
5,1,0.243207201,0,5
5,0.1,0.365394232,0.093439349,5
5,0.01,0.35705951,0.232769969,5
