K,budget,Error,Equal opportunity difference
1,1.0,0.1749708381936344,0.18961424025549867
1,0.1,0.1753041159806699,0.1936574088566005
2,1.0,0.16266666666666665,0.09980066227804651
2,0.1,0.1635,0.12920709709908385
3,1.0,0.164,0.09572141183907856
3,0.1,0.16233333333333333,0.08731451322741923
4,1.0,0.16533333333333333,0.1367731367846337
4,0.1,0.16583333333333333,0.13800163801362286
5,1.0,0.16252708784797465,0.10115598191880953
5,0.1,0.16169361560260043,0.11837466524996948
