K,budget,Error,Equal opportunity difference
1,1.0,0.10808594390683943,0.10693432676563158
1,0.1,0.10726586845989831,0.10418172708430895
2,1.0,0.10183666775992128,0.11617505287559216
2,0.1,0.10183666775992128,0.11617505287559216
3,1.0,0.10364053788127255,0.22388653220010607
3,0.1,0.10331256149557232,0.23740721087935268
4,1.0,0.1098720892095769,0.072257551544544
4,0.1,0.1098720892095769,0.072257551544544
5,1.0,0.10185337051008693,0.1357193228643675
5,0.1,0.10168935542069871,0.14136107180646001
