K,budget,Error,Equal opportunity difference,fc
1,0.01,0.4035994,0.03974027,3
2,1,0.288333333,0.036753731,3
2,0.1,0.376666667,0.081716418,3
2,0.01,0.234,0,3
3,1,0.292833333,0.016397505,3
3,0.1,0.305333333,0.088947173,3
3,0.01,0.239166667,0.170759159,3
4,1,0.332333333,0.051728464,3
4,0.1,0.391833333,0.012777549,3
4,0.01,0.191833333,0.135096145,3
5,1,0.30271712,0.009880839,3
5,0.1,0.314219037,0.172192659,3
5,0.01,0.265877646,0.151839724,3
1,1,0.355274121,0.052821997,4
1,0.1,0.396433928,0.056649402,4
1,0.01,0.50458257,0.013748191,4
2,1,0.386333333,0.012779851,4
2,0.1,0.508166667,0.014085821,4
2,0.01,0.234,0,4
3,1,0.346166667,0.019639833,4
3,0.1,0.340833333,0.059890133,4
3,0.01,0.253333333,0.161651729,4
4,1,0.396333333,0.02821634,4
4,0.1,0.377166667,0.020564148,4
4,0.01,0.193666667,0.166681601,4
5,1,0.338889815,0.024923819,4
5,0.1,0.353058843,0.156922272,4
5,0.01,0.309551592,0.162357302,4
1,1,0.458090318,0.010130246,5
1,0.1,0.459923346,0.021383959,5
1,0.01,0.498250292,0.01447178,5
2,1,0.5605,0.018656716,5
2,0.1,0.4985,0.012593284,5
2,0.01,0.234,0,5
3,1,0.434,0.012463343,5
3,0.1,0.369833333,0.057535831,5
3,0.01,0.272333333,0.098405683,5
4,1,0.408666667,0.020868802,5
4,0.1,0.441833333,0.005286644,5
4,0.01,0.195833333,0.128770094,5
5,1,0.423570595,0.026129076,5
5,0.1,0.375562594,0.121480875,5
5,0.01,0.333888981,0.149838541,5
