K,budget,Error,Equal opportunity difference,fc
5,0.01,0.275212535,0.14025359,4
1,1,0.242959507,0,5
1,0.1,0.242959507,0,5
1,0.01,0.242959507,0,5
2,1,0.234,0,5
2,0.1,0.234,0,5
2,0.01,0.3585,0.025510288,5
3,1,0.239166667,0,5
3,0.1,0.239166667,0,5
3,0.01,0.239166667,0,5
4,1,0.2405,0,5
4,0.1,0.216666667,0.135954136,5
4,0.01,0.2405,0,5
5,1,0.243207201,0,5
5,0.1,0.356392732,0.06994901,5
5,0.01,0.276546091,0.098129851,5
