K,budget,Error,Equal opportunity difference,fc
2,0.01,0.207937029,0.173356468,4
3,1,0.224499836,0.032674973,4
3,0.1,0.22138406,0.013852068,4
3,0.01,0.277304034,0.098223754,4
4,1,0.229255494,0.000317965,4
4,0.1,0.203509347,0.027980922,4
4,0.01,0.185798622,0.326311605,4
5,1,0.242742332,0.033850493,4
5,0.1,0.248810891,0.004478138,4
5,0.01,0.245202559,0.092595204,4
1,1,0.204854847,0.03133515,5
1,0.1,0.227324914,0.039537341,5
1,0.01,0.334098737,0.07637769,5
2,1,0.260741227,0.018893387,5
2,0.1,0.264840931,0.068825911,5
2,0.01,0.257461463,0.086986697,5
3,1,0.228763529,0.032674973,5
3,0.1,0.241718596,0.032277307,5
3,0.01,0.294522794,0.087354189,5
4,1,0.248114136,0.009141495,5
4,0.1,0.238930797,0.004451511,5
4,0.01,0.254509675,0.274642289,5
5,1,0.245202559,0.031029619,5
5,0.1,0.281777924,0.02577574,5
5,0.01,0.270460882,0.103490832,5
